iter	Passed	Remaining
0	92	92294
1	174	87194
2	358	119135
3	457	113967
4	572	113854
5	725	120175
6	788	111887
7	923	114536
8	977	107672
9	1108	109723
10	1188	106890
11	1334	109834
12	1473	111891
13	1514	106656
14	1575	103440
15	1674	103012
16	1734	100316
17	1879	102521
18	2060	106376
19	2124	104107
20	2186	101909
21	2204	98014
22	2340	99399
23	2403	97757
24	2506	97752
25	2651	99322
26	3016	108690
27	3472	120531
28	3558	119143
29	3626	117269
30	3731	116624
31	3830	115882
32	3932	115222
33	3993	113470
34	4078	112453
35	4198	112417
36	4298	111882
37	4432	112213
38	4532	111688
39	4584	110038
40	4621	108095
41	4683	106832
42	4709	104810
43	4807	104461
44	4909	104188
45	4971	103109
46	4992	101237
47	5098	101117
48	5193	100787
49	5252	99799
50	5352	99605
51	5450	99365
52	5599	100044
53	5686	99613
54	5769	99123
55	5867	98912
56	6037	99886
57	6137	99675
58	6281	100180
59	6337	99293
60	6575	101220
61	6741	101985
62	6790	101000
63	7061	103272
64	7114	102333
65	7212	102069
66	7244	100880
67	7271	99667
68	7352	99204
69	7406	98405
70	7519	98391
71	7565	97512
72	7694	97703
73	7730	96729
74	7992	98578
75	8137	98938
76	8530	102256
77	8779	103773
78	8837	103024
79	8933	102736
80	9157	103895
81	9237	103420
82	9335	103140
83	9440	102946
84	9491	102173
85	9668	102755
86	9687	101662
87	9750	101055
88	9814	100456
89	9913	100234
90	9937	99269
91	9999	98692
92	10230	99776
93	10246	98759
94	10343	98535
95	10491	98791
96	10566	98362
97	10691	98402
98	10748	97818
99	10857	97720
100	10918	97182
101	11020	97022
102	11155	97146
103	11246	96893
104	11304	96356
105	11444	96519
106	11627	97040
107	11734	96922
108	11851	96874
109	11949	96684
110	12012	96211
111	12195	96691
112	12327	96763
113	12729	98932
114	12781	98365
115	12883	98177
116	13024	98293
117	13125	98110
118	13265	98209
119	13283	97414
120	13346	96958
121	13443	96750
122	13586	96869
123	13605	96113
124	13665	95656
125	13723	95195
126	13767	94639
127	13801	94020
128	13819	93308
129	13917	93138
130	14016	92981
131	14078	92574
132	14237	92812
133	14297	92403
134	14439	92521
135	14502	92132
136	14523	91486
137	14586	91110
138	14647	90731
139	14788	90843
140	14835	90381
141	14881	89918
142	14981	89781
143	15003	89186
144	15027	88607
145	15112	88398
146	15222	88329
147	15281	87971
148	15340	87616
149	15400	87271
150	15539	87370
151	15676	87460
152	15715	87001
153	15815	86880
154	15873	86537
155	15963	86367
156	16023	86037
157	16074	85663
158	16203	85702
159	16263	85384
160	16358	85246
161	16457	85134
162	16558	85028
163	16618	84713
164	16638	84201
165	16744	84125
166	16885	84224
167	16905	83721
168	17179	84476
169	17443	85164
170	17520	84940
171	17637	84904
172	17725	84735
173	17781	84412
174	17937	84560
175	18022	84377
176	18280	85000
177	18477	85326
178	18494	84827
179	18559	84547
180	18749	84839
181	18855	84746
182	19027	84946
183	19073	84587
184	19150	84366
185	19273	84345
186	19409	84385
187	19525	84332
188	19679	84446
189	19697	83972
190	19761	83700
191	19842	83504
192	19887	83157
193	20012	83142
194	20083	82909
195	20101	82456
196	20213	82394
197	20235	81963
198	20358	81943
199	20446	81784
200	20493	81463
201	20621	81464
202	20740	81427
203	20858	81388
204	20964	81300
205	20982	80876
206	21001	80455
207	21103	80356
208	21123	79944
209	21184	79694
210	21236	79412
211	21403	79555
212	21456	79277
213	21600	79337
214	21667	79110
215	21910	79525
216	21951	79207
217	22072	79177
218	22118	78880
219	22188	78668
220	22270	78502
221	22415	78554
222	22526	78487
223	22704	78656
224	22786	78486
225	22905	78447
226	22959	78184
227	23083	78159
228	23179	78040
229	23278	77932
230	23377	77825
231	23608	78150
232	23816	78400
233	24000	78565
234	24131	78556
235	24207	78365
236	24310	78264
237	24419	78182
238	24559	78200
239	24673	78133
240	24762	77987
241	24818	77738
242	24909	77597
243	24955	77322
244	25080	77289
245	25215	77287
246	25262	77013
247	25452	77179
248	25499	76907
249	25575	76727
250	25673	76610
251	25789	76550
252	25841	76299
253	25911	76103
254	26051	76111
255	26199	76143
256	26301	76039
257	26330	75725
258	26434	75629
259	26524	75492
260	26618	75368
261	26690	75182
262	26713	74857
263	26798	74710
264	27341	75833
265	28060	77428
266	28194	77403
267	28311	77329
268	28398	77172
269	28545	77177
270	28564	76840
271	28667	76726
272	28802	76700
273	28977	76779
274	29074	76651
275	29232	76682
276	29344	76592
277	29485	76577
278	29688	76722
279	29803	76636
280	29879	76452
281	30031	76462
282	30143	76371
283	30161	76040
284	30229	75838
285	30390	75870
286	30733	76350
287	30807	76162
288	30883	75979
289	31054	76029
290	31105	75786
291	31333	75973
292	31454	75898
293	31640	75979
294	31710	75782
295	31789	75607
296	31825	75332
297	31885	75112
298	32172	75428
299	32224	75190
300	32269	74937
301	32330	74723
302	32401	74533
303	32418	74222
304	32482	74017
305	32605	73948
306	32626	73647
307	32741	73563
308	32855	73472
