iter	Passed	Remaining
0	94	94645
1	116	57925
2	138	46016
3	405	100884
4	420	83668
5	436	72295
6	453	64288
7	469	58156
8	486	53593
9	502	49770
10	574	51666
11	590	48596
12	604	45894
13	624	43952
14	643	42234
15	667	41023
16	682	39457
17	700	38194
18	717	37042
19	734	36005
20	750	34979
21	766	34084
22	784	33319
23	799	32520
24	823	32097
25	843	31580
26	866	31239
27	896	31108
28	947	31736
29	980	31699
30	994	31087
31	1007	30463
32	1019	29884
33	1031	29313
34	1046	28863
35	1280	34280
36	1303	33914
37	1321	33454
38	1352	33337
39	1369	32858
40	1390	32517
41	1405	32051
42	1423	31679
43	1437	31242
44	1464	31071
45	1483	30767
46	1502	30460
47	1518	30114
48	1555	30194
49	1570	29836
50	1583	29461
51	1595	29095
52	1610	28782
53	1627	28510
54	1656	28464
55	1670	28161
56	1685	27883
57	1704	27682
58	1726	27541
59	1760	27583
60	1779	27387
61	1794	27155
62	1812	26951
63	1829	26755
64	1851	26633
65	1867	26423
66	1886	26268
67	1902	26068
68	1918	25881
69	1932	25675
70	1967	25739
71	1985	25588
72	1999	25395
73	2015	25221
74	2036	25119
75	2113	25691
76	2130	25543
77	2166	25608
78	2184	25462
79	2199	25293
80	2222	25213
81	2237	25045
82	2254	24903
83	2283	24896
84	2301	24777
85	2320	24664
86	2338	24541
87	2356	24416
88	2377	24340
89	2403	24297
90	2420	24175
91	2437	24059
92	2453	23926
93	2466	23774
94	2481	23637
95	2567	24180
96	2595	24161
97	2611	24038
98	2629	23932
99	2646	23820
100	2663	23711
101	2751	24222
102	2800	24387
103	2819	24286
104	2834	24159
105	2848	24023
106	2864	23904
107	2878	23776
108	2893	23653
109	2910	23551
110	2935	23512
111	2951	23398
112	2965	23280
113	3001	23326
114	3020	23242
115	3036	23139
116	3060	23100
117	3092	23112
118	3106	22998
119	3121	22889
120	3136	22788
121	3151	22676
122	3167	22581
123	3200	22607
124	3221	22551
125	3250	22549
126	3269	22474
127	3284	22372
128	3301	22289
129	3318	22208
130	3333	22115
131	3348	22019
132	3364	21929
133	3394	21938
134	3412	21863
135	3427	21772
136	3442	21687
137	3462	21630
138	3536	21906
139	3556	21849
140	3576	21789
141	3591	21701
142	3608	21623
143	3634	21602
144	3652	21535
145	3670	21471
146	3685	21385
147	3699	21298
148	3717	21231
149	3731	21147
150	3746	21065
151	3762	20991
152	3795	21008
153	3809	20925
154	3827	20866
155	3847	20816
156	3863	20744
157	3879	20673
158	3893	20594
159	3909	20522
160	3923	20448
161	3939	20376
162	3954	20306
163	3980	20289
164	4000	20245
165	4016	20178
166	4030	20106
167	4049	20053
168	4090	20112
169	4110	20067
170	4125	20000
171	4139	19928
172	4155	19863
173	4174	19817
174	4217	19881
175	4232	19817
176	4252	19773
177	4276	19748
178	4292	19687
179	4308	19626
180	4405	19935
181	4443	19970
182	4475	19982
183	4491	19919
184	4506	19854
185	4521	19788
186	4537	19725
187	4552	19661
188	4567	19600
189	4768	20329
190	4784	20263
191	4799	20199
192	4815	20134
193	4830	20069
194	4845	20002
195	4861	19942
196	4937	20126
197	4973	20146
198	4993	20100
199	5025	20102
200	5047	20063
201	5062	19999
202	5079	19940
203	5106	19925
204	5124	19872
205	5150	19850
206	5184	19860
207	5203	19813
208	5223	19768
209	5238	19708
210	5254	19647
211	5269	19587
212	5284	19526
213	5300	19467
214	5316	19411
215	5371	19494
216	5386	19436
217	5402	19379
218	5418	19322
219	5436	19274
220	5468	19275
221	5483	19216
222	5498	19159
223	5514	19103
224	5530	19047
225	5545	18991
226	5560	18936
227	5578	18888
228	5612	18897
229	5629	18847
230	5646	18798
231	5680	18805
232	5697	18753
233	5783	18930
234	5804	18894
235	5834	18887
236	5852	18840
237	5867	18786
238	5883	18732
239	5898	18679
240	5914	18626
241	5929	18573
242	5947	18529
243	5976	18515
244	5991	18463
245	6007	18413
246	6024	18365
247	6053	18355
248	6069	18305
249	6085	18255
250	6100	18205
251	6115	18153
252	6139	18126
253	6156	18080
254	6171	18030
255	6187	17982
256	6207	17944
257	6232	17923
258	6255	17897
259	6275	17861
260	6292	17817
261	6311	17778
262	6330	17740
263	6346	17692
264	6362	17648
265	6381	17609
266	6400	17571
267	6416	17524
268	6431	17478
269	6447	17431
270	6464	17389
271	6481	17346
272	6497	17302
273	6513	17257
274	6533	17224
275	6552	17187
276	6573	17156
277	6592	17122
278	6611	17086
279	6631	17053
280	6647	17007
281	6663	16967
282	6699	16973
283	6716	16932
284	6735	16897
285	6751	16854
286	6770	16819
287	6790	16787
288	6806	16744
289	6822	16702
290	6841	16667
291	6859	16631
292	6876	16592
293	6894	16555
294	6919	16535
295	6934	16493
296	6951	16453
297	6985	16456
298	7002	16417
299	7041	16430
300	7060	16396
301	7075	16354
302	7107	16349
303	7144	16358
304	7199	16405
305	7269	16486
306	7468	16859
307	7489	16826
308	7504	16782
309	7521	16740
310	7539	16702
311	7555	16660
312	7614	16711
313	7636	16682
314	7657	16651
315	7673	16609
316	7690	16570
317	7737	16594
318	7760	16566
319	7776	16525
320	7797	16493
321	7860	16551
322	7915	16590
323	7933	16552
324	7949	16511
325	7987	16514
326	8004	16474
327	8021	16435
328	8061	16441
329	8079	16404
330	8098	16367
331	8119	16336
332	8168	16362
333	8187	16326
334	8204	16286
335	8222	16249
336	8241	16213
337	8257	16172
338	8272	16130
339	8429	16363
340	8548	16519
341	9151	17606
